,Date,AAL,AAPL,AMD,AMZN,GE,KO,MARA,MELI,RCL,TSLA,^GSPC
8,2016-05-05,31.531173706054688,21.81283950805664,3.6600000858306885,659.0900268554688,26.16887092590332,38.22892761230469,26.719999313354492,124.22520446777344,68.83595275878906,42.305999755859375,2050.6298828125
9,2016-05-06,31.74260139465332,21.69118881225586,3.680000066757202,673.9500122070312,26.370235443115234,38.44951629638672,26.239999771118164,127.35868835449219,68.09852600097656,42.986000061035156,2057.139892578125
10,2016-05-09,31.656110763549805,21.707569122314453,3.6500000953674316,679.75,26.151365280151367,38.38163757324219,26.239999771118164,126.5827865600586,68.94519805908203,41.784000396728516,2058.68994140625
11,2016-05-10,32.453758239746094,21.854948043823242,3.640000104904175,703.0700073242188,26.6854190826416,38.8143196105957,27.040000915527344,128.21417236328125,68.62655639648438,41.737998962402344,2084.389892578125
12,2016-05-11,31.579233169555664,21.642059326171875,3.6500000953674316,713.22998046875,26.562849044799805,38.56828689575195,27.200000762939453,129.01992797851562,68.38985443115234,41.79199981689453,2064.4599609375
13,2016-05-12,30.108863830566406,21.134403228759766,3.5899999141693115,717.9299926757812,26.343975067138672,38.8821907043457,29.600000381469727,127.28907012939453,70.11962890625,41.45600128173828,2064.110107421875
14,2016-05-13,30.28184700012207,21.176513671875,3.6700000762939453,709.9199829101562,25.94999122619629,38.47496032714844,31.040000915527344,126.861328125,68.86325073242188,41.52199935913086,2046.6099853515625
15,2016-05-16,30.868066787719727,21.962560653686523,3.7899999618530273,710.6599731445312,26.23015785217285,38.70402908325195,34.2400016784668,128.02516174316406,69.80097198486328,41.65800094604492,2066.659912109375
16,2016-05-17,31.3678035736084,21.871320724487305,3.7899999618530273,695.27001953125,26.01127815246582,37.965911865234375,36.0,130.09429931640625,69.23653411865234,40.93199920654297,2047.2099609375
17,2016-05-18,31.338973999023438,22.12164306640625,3.8399999141693115,697.4500122070312,25.923728942871094,37.73685073852539,34.08000183105469,131.80526733398438,71.19390869140625,42.23400115966797,2047.6300048828125
18,2016-05-19,30.89689826965332,22.03742790222168,3.7699999809265137,698.52001953125,25.70485496520996,37.60110855102539,35.20000076293945,131.09898376464844,69.91934204101562,43.04199981689453,2040.0400390625
19,2016-05-20,30.762353897094727,22.276042938232422,3.869999885559082,702.7999877929688,25.87995147705078,37.287200927734375,36.0,133.18795776367188,71.83119201660156,44.055999755859375,2052.320068359375
